m	94816
s	1602
wd	389
d	3199
zero	1288
v	324
q	464
w	64
voy	157
n	141
b	1266
f	17m	94664
d	3213
zero	1342
s	1600
wd	379
v	354
q	468
b	1313
n	149
voy	145
w	71
f	22m	94616
s	1642
d	3218
q	524
zero	1333
wd	374
v	296
b	1234
voy	161
w	60
n	178
f	22m	94683
d	3195
zero	1263
b	1273
wd	372
s	1671
n	141
v	342
q	488
voy	152
w	55
f	22m	94815
b	1290
wd	382
zero	1255
d	3206
s	1624
voy	159
q	484
v	321
n	132
w	63
f	26m	94635
wd	378
d	3184
voy	147
zero	1356
b	1205
s	1649
q	491
n	150
v	307
w	70
f	18d	3165
m	94633
zero	1297
wd	376
s	1568
b	1190
q	495
n	166
v	313
voy	147
w	62
f	23m	94529
d	3212
s	1649
zero	1301
wd	378
q	475
b	1117
w	61
v	313
voy	148
n	157
f	18m	94967
zero	1324
v	286
d	3195
s	1570
wd	380
q	498
voy	154
b	1258
f	25
n	118
w	63m	94599
d	3231
zero	1307
b	1248
s	1608
w	68
wd	377
q	475
v	305
voy	151
n	164
f	27m	94380
zero	1269
d	3192
wd	377
s	1661
b	1299
v	297
q	478
w	71
voy	146
n	138
f	21m	94375
d	3169
zero	1321
b	1168
q	509
v	319
s	1558
wd	375
voy	136
w	60
n	147
f	15m	94720
wd	373
d	3232
b	1245
s	1597
v	326
voy	147
zero	1279
n	181
q	492
f	22
w	67m	94616
d	3261
s	1637
zero	1313
wd	376
q	530
w	75
b	1296
n	157
voy	159
v	303
f	19m	94657
d	3104
wd	375
q	474
b	1219
s	1591
n	199
zero	1263
v	335
voy	163
w	62
f	22m	94953
d	3223
b	1299
s	1559
voy	159
zero	1289
v	305
q	474
wd	376
f	15
n	130
w	78m	94847
d	3176
zero	1333
q	524
s	1661
voy	163
wd	387
b	1322
v	331
n	112
w	61
f	26m	94520
d	3190
b	1237
w	71
zero	1284
s	1613
wd	386
q	524
v	288
voy	141
n	176
f	21m	94927
d	3193
q	497
b	1255
zero	1307
s	1554
wd	389
voy	152
v	352
w	67
n	138
f	20m	94411
v	324
q	496
d	3196
zero	1245
s	1613
wd	381
b	1272
voy	146
n	121
w	74
f	29m	94618
s	1623
wd	379
d	3191
zero	1336
q	494
b	1198
v	286
w	84
n	151
voy	149
f	22m	95049
d	3210
wd	373
b	1264
zero	1287
q	514
s	1580
n	172
v	335
w	69
f	22
voy	146m	94320
d	3186
v	303
s	1629
wd	378
b	1368
zero	1259
voy	163
q	503
w	81
n	128
f	30d	3226
m	94679
zero	1276
s	1584
n	134
wd	373
q	513
w	77
b	1272
v	286
voy	144
f	15m	94550
zero	1318
d	3183
q	508
s	1598
n	144
v	315
wd	377
w	64
b	1196
voy	132
f	26m	94967
d	3187
b	1268
zero	1301
s	1560
wd	390
voy	151
q	477
v	331
w	87
n	122
f	25m	94758
d	3221
b	1183
s	1674
wd	379
zero	1284
q	513
voy	153
w	72
v	314
n	133
f	16m	94951
zero	1261
d	3233
s	1590
wd	377
w	79
b	1218
q	464
voy	156
f	25
v	322
n	136m	94310
wd	377
d	3235
s	1622
q	533
b	1233
voy	147
w	75
zero	1333
f	23
n	135
v	322m	94516
q	501
s	1628
d	3205
zero	1251
wd	376
b	1247
n	114
f	18
voy	156
w	81
v	311m	94769
b	1275
d	3193
v	263
zero	1281
q	484
wd	376
s	1577
voy	163
w	70
n	137
f	25m	94300
s	1564
d	3187
wd	379
q	488
b	1164
voy	141
zero	1334
n	176
v	300
w	72
f	27m	94129
b	1252
d	3177
zero	1329
wd	378
voy	141
q	525
w	64
s	1676
v	277
f	34
n	145m	94605
d	3217
b	1291
s	1664
voy	131
zero	1297
q	507
wd	374
v	327
w	69
n	185
f	25m	94552
d	3191
s	1642
zero	1307
b	1299
wd	389
q	478
v	321
voy	154
w	62
n	113
f	23m	94946
d	3233
wd	377
voy	144
q	496
zero	1282
s	1566
b	1321
v	311
w	61
n	122
f	23m	94674
d	3246
s	1598
q	479
b	1314
zero	1265
voy	159
wd	381
v	303
n	142
w	62
f	19m	94644
d	3247
wd	374
zero	1279
s	1593
b	1217
v	288
q	506
n	127
f	18
voy	152
w	60m	94219
d	3184
b	1212
q	516
w	67
wd	386
zero	1302
voy	146
s	1655
v	311
n	147
f	20m	94214
d	3208
s	1525
zero	1313
q	497
b	1236
wd	377
v	309
n	141
w	66
voy	138
f	25m	94844
s	1596
zero	1314
wd	373
d	3218
q	506
b	1254
v	295
n	167
voy	152
w	67
f	17d	3139
m	94019
b	1217
s	1616
voy	157
n	139
zero	1343
q	510
wd	377
v	296
w	73
f	39m	94845
d	3163
wd	380
q	498
s	1670
zero	1313
b	1194
f	21
voy	135
w	63
v	330
n	160m	94500
v	343
d	3266
s	1606
zero	1331
wd	381
w	86
b	1208
voy	161
q	509
n	114
f	23m	94235
d	3149
wd	381
w	62
s	1616
zero	1311
b	1257
q	487
n	144
voy	141
v	292
f	21m	94605
d	3189
v	308
zero	1310
s	1699
wd	378
b	1263
voy	142
q	488
w	63
f	18
n	158m	94556
zero	1287
d	3210
w	75
s	1669
b	1265
wd	375
q	509
voy	148
v	284
n	118
f	26m	94581
d	3197
zero	1311
voy	158
wd	380
s	1672
b	1277
v	325
q	473
w	69
n	117
f	23m	94548
s	1591
b	1344
d	3210
zero	1289
wd	378
q	473
n	118
v	375
voy	148
w	64
f	24m	95054
wd	377
s	1596
d	3160
zero	1333
w	75
q	455
b	1276
voy	170
v	302
n	103
f	19m	94625
d	3212
v	333
b	1212
wd	372
zero	1282
s	1619
q	497
voy	147
w	81
f	24
n	157m	94757
v	299
s	1641
b	1268
zero	1311
d	3201
wd	383
q	509
voy	151
w	64
f	36
n	152m	94593
d	3198
s	1612
zero	1342
b	1331
w	65
voy	153
wd	382
v	311
q	507
n	101
f	17q	518
m	94343
d	3218
s	1674
wd	376
n	128
zero	1282
b	1230
v	257
voy	137
w	68
f	24m	94333
d	3128
zero	1292
b	1235
voy	154
wd	374
s	1573
q	511
v	289
w	71
n	158
f	23m	94189
d	3261
v	297
zero	1280
s	1640
q	525
wd	373
voy	146
b	1272
n	152
w	77
f	18m	94785
d	3226
zero	1339
q	490
s	1679
wd	382
b	1292
v	311
voy	155
w	70
n	155
f	17m	94434
voy	139
zero	1297
d	3196
s	1710
q	516
wd	381
b	1200
n	183
v	305
w	70
f	26m	94273
zero	1232
s	1678
wd	372
d	3235
b	1311
q	472
voy	139
w	63
v	301
n	165
f	23m	94338
d	3198
zero	1313
s	1636
b	1268
w	67
n	150
v	300
wd	380
voy	162
q	476
f	21m	94428
d	3131
zero	1358
wd	377
s	1709
n	150
q	503
b	1282
v	262
w	65
voy	142
f	33m	94494
d	3179
s	1599
wd	377
zero	1273
b	1237
q	500
v	301
voy	144
n	114
w	69
f	20m	94806
d	3174
n	139
zero	1367
wd	375
b	1255
s	1660
voy	150
q	484
v	306
w	64
f	24m	94408
wd	376
d	3204
b	1233
s	1575
q	515
zero	1304
voy	155
w	72
v	313
n	146
f	17m	94595
b	1221
zero	1330
d	3176
wd	378
voy	142
s	1591
q	508
v	337
w	60
n	154
f	21m	94540
zero	1305
v	309
d	3180
w	79
b	1219
wd	377
s	1593
voy	144
q	475
n	190
f	23m	95154
zero	1310
d	3196
b	1221
voy	149
wd	371
s	1578
q	519
v	307
w	89
n	129
f	19m	94299
d	3167
b	1217
s	1690
q	476
zero	1335
wd	379
w	64
n	167
v	302
voy	136
f	19m	94822
zero	1279
b	1203
d	3119
wd	381
q	514
s	1620
n	165
v	333
w	63
voy	143
f	39m	94559
s	1616
d	3156
zero	1316
b	1234
q	491
wd	376
voy	149
w	68
v	305
n	153
f	26
